NET-00001 | 0.0023 | -0.1404 | 0.0021 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00002 | 0.3282 | -3.2171 | 5.2355 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00003 | -0.3566 | -0.3879 | 0.9943 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00004 | 0.0568 | -1.3822 | 0.7999 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00005 | -0.0016 | 1.3784 | 0.0284 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00006 | -0.7399 | 2.2237 | 5.0366 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00007 | -0.2564 | 2.3497 | 3.5305 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00008 | 0.1505 | -0.9859 | 2.2915 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00009 | 0.0429 | -1.9156 | 1.6710 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00010 | 0.2057 | -1.0983 | 0.9088 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00011 | -0.0008 | 1.3929 | 0.0480 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00012 | 0.4508 | -3.7266 | 7.9450 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00013 | -0.0874 | -0.6868 | 1.9091 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00014 | 0.0004 | 0.5112 | 0.0125 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00015 | -0.3861 | 1.7584 | 2.4783 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00016 | -0.1779 | 1.3596 | 1.5135 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00017 | -0.0016 | 0.7846 | 0.0102 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00018 | -0.7108 | 0.4953 | 1.2405 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00019 | 0.0080 | -0.9672 | 0.0289 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00020 | -0.5929 | 1.2340 | 1.9693 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00021 | -0.7028 | 0.0115 | 0.0333 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00022 | -0.5964 | 1.7076 | 3.1854 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00023 | -1.2975 | 1.2496 | 3.9963 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00024 | 0.0074 | -0.6758 | 0.0200 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00025 | 0.0008 | 0.1149 | 0.0006 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00026 | 0.3212 | -2.1243 | 2.8987 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00027 | -1.0590 | 1.5596 | 3.9630 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00028 | -1.2628 | 0.0589 | 0.2035 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00029 | 0.1178 | -1.0961 | 0.8228 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00030 | -1.2274 | 1.8979 | 5.8076 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00031 | 0.1469 | -1.5537 | 1.4459 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00032 | -0.8083 | 1.1947 | 2.4880 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00033 | -0.7711 | 1.7642 | 4.2021 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00034 | 0.1349 | -1.1192 | 4.3287 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00035 | 0.6734 | -2.0012 | 4.5245 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00036 | 0.4765 | -1.7937 | 2.8660 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00037 | 0.0034 | 0.0943 | 0.0026 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00038 | -0.0060 | 1.4799 | 0.0498 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00039 | 0.3170 | -1.7387 | 2.2670 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00040 | 0.0049 | -0.2446 | 0.0044 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00041 | -1.9272 | 1.4998 | 6.0025 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00042 | -0.1996 | -0.0185 | 0.0082 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00043 | -1.2410 | 1.6090 | 4.8985 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00044 | 0.7606 | -2.9706 | 7.6798 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
NET-00045 | -1.7733 | 0.8043 | 2.8320 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00046 | -0.0130 | -0.4030 | 0.7221 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00047 | 0.0059 | -0.1526 | 0.0049 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00048 | -0.6120 | 0.0004 | 0.0006 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00049 | 0.0702 | 0.0065 | 0.0027 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00050 | -0.0005 | 0.4689 | 0.0159 | COMPLIANT_CONVERGENCE_STEP | COMMIT_DERIVATIVE_WEIGHT_ADJUSTMENT | 200
NET-00051 | 0.9021 | -2.1389 | 5.5448 | GRADIENT_EXPLOSION_HAZARD | EXECUTE_DYNAMIC_GRADIENT_CLIP_RESCALING | 422
